brand,model,screen_size,color,storage,processor,RAM,os,special_feature,graphics,price
HP,HP Laptop,15.6 Inches,Silver-Ci7,512 GB,Core i7 Family,16 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard",Integrated,"₹29,990"
HP,HP Laptop,39.6 Centimetres,Natural Silver,512 GB,Ryzen 3,8 GB,Windows 11 Home,Anti Glare Coating,Integrated,"₹52,800"
ASUS,ASUS Vivobook 15,15.6 Inches,Silver | 16GB RAM,512 GB,Core i3,16 GB,Windows 11 Home,Anti-glare display,Integrated,"₹55,990"
HP,HP Laptop,39.6 Centimetres,Mica Silver,512 GB,Others,16 GB,Windows 11 Home,"Anti Glare Coating, Micro Edge Display",Dedicated,"₹46,990"
ASUS,ASUS Vivobook 15,15.6 Inches,Blue | R7 5825U,,Ryzen 7,8 GB,Windows 11 Home,"45% NTSC color gamut, Anti-glare display, Backlit Keyboard",Integrated,"₹55,990"
Lenovo,IdeaPad Slim 3,15.6 Inches,Arctic Grey,512 GB,Core i5,16 GB,"Windows 11 Home 64, English",Built-in Microphone,Integrated,"₹52,990"
Lenovo,LOQ,15.6 Inches,i5-12th | RTX 3050,512 GB,Others,16 GB,Windows 11 Home,"Backlit Keyboard, HD Audio",Dedicated,"₹35,990"
acer,Aspire Lite,15.6 Inches,UN.31ZSI.045,512 GB,Ryzen 3 5300U,8 GB,Windows 11 Home,Lightweight,Integrated,"₹14,990"
ASUS,ASUS Vivobook Go 14,14 Inches,Black | 16GB RAM,512 GB,Ryzen 5,16 GB,Windows 11 Home,"60Hz refresh rate, Anti-glare display",Integrated,"₹29,990"
Walker,NU14A1,14.1 Inches,Gray,128 GB,Celeron N4020,4 GB,Windows 11 Home,Thin,Integrated,"₹45,490"
Dell,Inspiron,15.6 Inches,Black,512 GB,Ryzen 3,8 GB,Windows 11 Home,Software Included,Integrated,"₹1,04,990"
ASUS,ASUS Zenbook 14,14 Inches,Foggy Silver (Ultra 7),1 TB,Intel Core Ultra 7,32 GB,Windows 11 Home,"120Hz refresh rate, 500nits HDR peak brightness, Backlit Keyboard, Glossy display, Touch screen",Integrated,"₹58,990"
ASUS,ASUS Vivobook Go 15,15.6 Inches,Star Black,512 GB,Celeron N,8 GB,Windows 11 Home,"60Hz refresh rate, Anti-glare display",Integrated,"₹62,990"
HP,HP 15,15.6 Inches,Black,256 GB,Athlon,8 GB,Windows 11 Pro,"Anti Glare Coating, HD Audio, Lightweight, Numeric Keypad",Integrated,"₹57,990"
Lenovo,IdeaPad Flex 5,14 Inches,Arctic Grey,512 GB,Ryzen 5,16 GB,Windows 11 Home,"Backlit Keyboard, HD Audio, Lightweight, Support Stylus",Integrated,"₹34,990"
HP,HP Laptop,15.6 Inches,Natural Silve,512 GB,Core i5,16 GB,Windows 11 Home,"Backlit Keyboard, Micro-Edge Display",Integrated,"₹69,990"
Primebook,,11.6 Inches,Gray,128 GB,MediaTek Helio,6 GB,PrimeOS 3.0,"Lightweight, Memory Card Slot",Integrated,"₹33,990"
Lenovo,Lenovo V14,14 Inches,Iron Grey,512 GB,Core i5,16 GB,Windows 11 Home,"Fhd Display, Spill Resistant, Ssd Storage, Thin, Windows 11",Integrated,"₹84,990"
HP,HP Laptop,39.6 Centimetres,Natural Silver,512 GB,Ryzen 7,16 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard",Integrated,"₹44,490"
MSI,CreatorPro X17 HX A13VKS,44 Centimetres,Core Black,4 TB,Core i9,64 GB,Windows 11 Pro,,Dedicated,"₹31,990"
acer,Aspire Lite,15.6 Inches,Steel Gray,256 GB,Ryzen 3 5300U,8 GB,Windows 11 Home,Lightweight,Integrated,"₹66,990"
HP,HP Laptop,39.6 Centimetres,Blue,512 GB,Ryzen 5,16 GB,Windows 11 Home,"Anti Glare Coating, Micro Edge Display",Dedicated,"₹1,17,990"
ASUS,ASUS Vivobook Go 14,14 Inches,Silver | 16GB RAM,512 GB,Ryzen 5,16 GB,Windows 11 Home,"60Hz refresh rate, Anti-glare display",Integrated,"₹20,970"
HP,HP 240 G10,14 Inches,Black,512 GB,Intel Core i5,8 GB,Windows 11 Pro,"Lightweight, Thin",Integrated Intel Graphics,"₹44,990"
acer,Nitro V,15.6 Inches,Black + Ryzen7/16GB/512GB/4050,512 GB,Ryzen 7,16 GB,Windows 11 Home,"Backlit Keyboard, Numeric Keypad",Dedicated,"₹64,990"
ASUS,Vivobook Go 15,15.6 Inches,Silver | MSO 24,512 GB,Ryzen 3,8 GB,Windows 11 Home,"Anti-glare display, US MIL-STD 810H military-grade standard",Integrated,"₹54,990"
ASUS,ASUS Vivobook 16,16 Inches,Silver | i5-13420H,512 GB,Core i5,16 GB,Windows 11 Home,"60Hz refresh rate, Anti-glare display",Integrated,"₹44,480"
Lenovo,LOQ,15.6 Inches,i5-12th | RTX 3050,512 GB,Others,16 GB,Windows 11 Home,"Backlit Keyboard, HD Audio",Dedicated,"₹69,990"
HP,HP Laptop,15.6 Inches,Natural Silve,512 GB,Core i5,16 GB,Windows 11 Home,"Backlit Keyboard, Micro-Edge Display",Integrated,"₹1,47,887"
Dell,Inspiron,15.6 Inches,Silver MSO'24,512 GB,Core i7,16 GB,Windows 11 Home,Backlit Keyboard,Integrated,"₹28,495"
ASUS,ASUS Vivobook,15.6 Inches,Silver | MSO 21,512 GB,Core i5,,Windows 11 Home,Anti Glare Display,Integrated,"₹1,79,990"
Dell,Latitude 15,15.6 Inches,Smoky Black,512 GB,Core i3-1215U,16 GB,Windows 11 Home,"Anti Glare Coating, HD Audio, Lightweight, Numeric Keypad",Integrated,"₹53,400"
HP,HP LAPTOP,14 Inches,Silver,512 GB,Core i5,16 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard, Micro-edge,lightweight",Integrated,"₹32,990"
HP,HP Laptop,16 Inches,Shadow Black,1 TB,Intel Core i7,24 GB,Windows 11 Home,"Anti Glare Coating, RGB Backlit",Dedicated,"₹43,990"
Lenovo,IdeaPad 5 2-in-1,14 Inches,Luna Grey,512 GB,,16 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard, Fingerprint Reader, Support Stylus",Integrated,"₹48,990"
acer,Travel Lite,14 Inches,Silver,512 GB,Ryzen 3,16 GB,Windows 11 Pro,"Anti Glare Coating, HD Audio, Lightweight, Spill Resistant",Integrated,"₹45,490"
ASUS,ASUS Vivobook 15,15.6 Inches,Quiet Blue,512 GB,Core i5,16 GB,Windows 11 Home,"Backlit Keyboard, Precision touchpad",Integrated,"₹43,990"
HP,HP Laptop,39.6 Centimetres,Natural Silver,512 GB,Core i3 Family,8 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard",Integrated,"₹34,990"
Dell,Inspiron,15.6 Inches,Silver,1 TB,Core i5,16 GB,Windows 11 Home,Backlit Keyboard,Integrated,"₹23,480"
Lenovo,Lenovo V14,14 Inches,Iron Grey,512 GB,Core i5,16 GB,Windows 11 Home,"Fhd Display, Spill Resistant, Ssd Storage, Thin, Windows 11",Integrated,"₹28,985"
HP,HP Laptop,39.6 Centimetres,Natural Silver,512 GB,Ryzen 7,16 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard",Integrated,"₹57,990"
Lenovo,LOQ,15.6,R7 | 24GB | RTX 3050A,512 GB,Ryzen 7,24 GB,Windows 11 Home,"Backlit Keyboard, HD Audio",Dedicated,"₹34,990"
Dell,WYSE 5470,14 Inches,Black,512 GB,Celeron,8 GB,Windows 11 Home,"Anti Glare Coating, HD Audio, Lightweight, Memory Card Slot, Thin",Integrated,"₹69,990"
ASUS,ASUS Vivobook Go 15,15.6 Inches,Mixed Black,,Ryzen 5,16 GB,Windows 11 Home,"60Hz refresh rate, Anti-glare display",Integrated,"₹84,990"
Apple,"13-inch MacBook Air (M4, 2025)",13.6 Inches,Silver,256 GB,Apple M4,16 GB,Mac OS,,Integrated,"₹33,990"
ASUS,ASUS Vivobook 14,14 Inches,Corei3-13 | Silver,,Core i3,8 GB,Windows 11 Home,"60Hz refresh rate, Anti-glare display",Integrated,"₹65,985"
HP,HP Laptop,14 Inches,"Silver-13th Gen i5""",512 GB,Core i5,16 GB,Windows 11 Home,"Backlit Keyboard, Micro-Edge Display",Integrated,"₹29,990"
Lenovo,IdeaPad Slim 3,15.3,Luna Grey,,Intel Core 5,16 GB,Windows 11 Home,"Anti Glare Coating, HD Audio, Memory Card Slot",Integrated,"₹35,990"
ASUS,ASUS Vivobook 15,15.6 Inches,Quiet Blue,512 GB,Core i7,16 GB,Windows 11 Home,Anti-glare display,Integrated,"₹59,990"
Lenovo,LOQ,15.6 Inches,i5-12th | RTX 3050,512 GB,Others,16 GB,Windows 11 Home,"Backlit Keyboard, HD Audio",Dedicated,"₹40,990"
Lenovo,IdeaPad Slim,15.6 Inches,Arctic Grey,512 GB,Ryzen 3,8 GB,Windows 11 Home,"Anti Glare Coating, HD Audio, Memory Card Slot",Integrated,"₹44,990"
AXL,AXL_15W_LAP02 Celeron Laptop,15 Inches,Gray,256 GB,Celeron N4020,4 GB,Windows 11 Home,,Intel UHD GRaphics 600,"₹64,990"
ASUS,ASUS Vivobook 15,15.6 Inches,Quiet Blue,1 TB,Core i5,16 GB,Windows 11 Home,"60Hz refresh rate, Anti-glare display",Integrated,"₹29,990"
Lenovo,V15,15.6 Inches,Black,256 GB,Celeron,8 GB,Windows,"Anti Glare Coating, Lightweight, Numeric Keypad",Integrated,"₹37,850"
acer,CB315-4H,15.6 Inches,Silver,128 GB,Others,8 GB,Chrome OS,"Anti Glare Coating, HD Audio, Long battery life, Memory Card Slot, Numeric Keypad",Integrated,"₹12,190"
ASUS,ASUS Vivobook 16,16 Inches,Quiet Blue,512 GB,Snapdragon X,16 GB,Windows 11 Home,"Anti-glare display, Qualcomm® Adreno™ GPU",Integrated,"₹29,989"
HP,HP Laptop,15.6 Inches,Natural Silver,512 GB,Ryzen 5,16 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard",Integrated,"₹1,13,990"
ASUS,ASUS Vivobook 14,14 Inches,Corei3-13 | Blue,512 GB,Core i3,8 GB,Windows 11 Home,"60Hz refresh rate, Anti-glare display",Integrated,"₹23,990"
Alienware,Alienware 16 Area-51 Gaming Laptop,16 Inches,Black,,Intel Core Ultra 9,64 GB,Windows 11 Home,RGB lighting,Dedicated,"₹26,990"
HP,HP Laptop,15.6 Inches,Natural Silve,512 GB,Core i5,16 GB,Windows 11 Home,"Backlit Keyboard, Micro-Edge Display",Integrated,"₹57,190"
HP,HP Laptop,39.6 Centimetres,Peformance Blue,,Ryzen 7,16 GB,Windows 11 Home,Anti Glare Coating,Dedicated,"₹48,990"
Lenovo,LOQ,15.6 Inches,i5-12th | RTX 3050,512 GB,Others,16 GB,Windows 11 Home,"Backlit Keyboard, HD Audio",Dedicated,"₹14,990"
Lenovo,Lenovo V14,14 Inches,Iron Grey,512 GB,Core i5,16 GB,Windows 11 Home,"Fhd Display, Spill Resistant, Ssd Storage, Thin, Windows 11",Integrated,"₹43,990"
acer,Aspire Lite,15.6 Inches,Steel Gray,512 GB,Core i5,16 GB,Windows 11 Home,Thin,Integrated,"₹45,490"
Lenovo,IdeaPad,39.6 Centimetres,"i5-12th Gen | 15.6""",512 GB,Core i5 Family,16 GB,Windows 11,"Anti Glare Coating, Backlit Keyboard, HD Audio, Lightweight, Numeric Keypad",Integrated,"₹4,74,490"
HP,HP 15,15.6 Inches,Ash Grey,512 GB,Core i3,32 GB,Windows 11 Home,"Anti Glare Coating, Fingerprint Reader, HD Audio, Lightweight, Numeric Keypad",Integrated,"₹25,490"
HP,HP Laptop,35.6 Centimetres,Core Ultra 7,512 GB,Others,16 GB,Windows 11 Home,"Anti Glare Coating, Built in Microphone",Integrated,"₹63,990"
HP,14-he0014QU,35.6 Centimetres,Silver,512 GB,Snapdragon,16 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard",Integrated,"₹34,990"
THOMSON,"Thomson Intel Celeron Dual Core N4020 - (4 GB/128 GB SSD/Windows 11 Home) Thin and Light Laptop with Numeric Keyboard (15.6 inch, Silver, 1.56 kg)Thomson Intel Celeron Dual Core N4020 - (4 GB/128 GB SSD/Windows 11 Home) Thin and Light Laptop with Numeric Keyboard (15.6 inch, Silver,…See more",15.6 Inches,Silver,128 GB,Celeron N,4 GB,Windows 11,Thin and Light Laptop,Intel® UHD Graphics,"₹57,990"
acer,Aspire 3,14 Inches,"Gray, 16GB/512GB/14.1""",512 GB,Core i5,16 GB,Windows 11 Home,Thin,Integrated,"₹33,990"
ASUS,ASUS Vivobook 15,15.6 Inches,Quiet Blue,,Intel Core i3,16 GB,Windows 11 Home,"45% NTSC color gamut, Anti-glare display",Integrated,"₹84,990"
HP,HP Laptop,39.6 Centimetres,Natural Silver,512 GB,Ryzen 7,16 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard",Integrated,"₹69,990"
Lenovo,Lenovo V15,15.6 Inches,Iron Grey,512 GB,Core i5 Family,16 GB,Windows 11 Home,"Anti Glare Coating, Lightweight",Integrated,"₹37,990"
Neopticon,BrowseBook,14.1 Inches,Gray,256 GB,Celeron N4020,4 GB,Windows 11 Home,"HD Audio, Memory Card Slot",Integrated,"₹48,850"
Dell,DB04255,14 Centimetres,Ice Blue,,Ryzen 5,16 GB,Windows 11 Home,,Integrated,"₹72,990"
HP,HP 15,15.6 Inches,Ash Grey,256 GB,Celeron N,8 GB,Windows 11 Home,"Anti Glare Coating, HD Audio, Lightweight, Numeric Keypad",Integrated,"₹28,700"
Lenovo,IdeaPad,15.6 Inches,Cloud Grey,512 GB,Ryzen 5,8 GB,Windows 11 Home,HD Audio,Integrated,"₹53,990"
acer,Aspire Lite,15.6 Inches,Steel Gray,512 GB,Core i3,16 GB,Windows 11 Home,Thin,Integrated,"₹64,990"
ASUS,Chromebook,14 Inches,Quiet Blue,,Celeron,8 GB,Chrome OS,"86% Screen-to-body ratio, Anti-glare display, US MIL-STD 810H military-grade standard",Integrated,"₹48,990"
ASUS,ASUS Vivobook 15,15.6 Inches,Silver | R7 5825U,,Ryzen 7,8 GB,Windows 11 Home,"45% NTSC color gamut, Anti-glare display, Backlit Keyboard",Integrated,"₹65,990"
acer,Aspire 3,14 Inches,Gray,512 GB,Core i3,8 GB,Windows 11 Home,"HD Audio, Lightweight",Integrated,"₹45,989"
HP,HP Laptop,15.6 Inches,Natural Silve,512 GB,Core i5,16 GB,Windows 11 Home,"Backlit Keyboard, Micro-Edge Display",Integrated,"₹35,600"
Dell,Inspiron,15.6 Inches,Silver,1 TB,Core i5,16 GB,Windows 11 Home,Backlit Keyboard,Integrated,"₹52,799"
Lenovo,LOQ,15.6 Inches,i5-12th | RTX 3050,512 GB,Others,16 GB,Windows 11 Home,"Backlit Keyboard, HD Audio",Dedicated,"₹1,29,990"
Lenovo,Lenovo V14,14 Inches,Iron Grey,512 GB,Core i5,16 GB,Windows 11 Home,"Fhd Display, Spill Resistant, Ssd Storage, Thin, Windows 11",Integrated,"₹66,190"
Lenovo,IdeaPad Slim 3,15.6 Inches,Arctic Grey,512 GB,Ryzen 5,16 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard, HD Audio, Memory Card Slot",Integrated,"₹29,990"
MSI,Titan 18 HX AI A2XWJG,46 Centimetres,Core Black,,Intel Core Ultra 9,96 GB,Windows 11 Home,,Dedicated,"₹43,990"
HP,HP 15,15.6 Inches,Ash Grey,512 GB,Core i3,16 GB,Windows 11 Pro,"Anti Glare Coating, Fingerprint Reader, HD Audio, Lightweight, Numeric Keypad",Integrated,"₹34,990"
ASUS,ASUS Vivobook 15,15.6 Inches,Quiet Blue,,Intel Core i7,16 GB,Windows 11 Home,"45% NTSC color gamut, Anti-glare display, Backlit Keyboard",Integrated,"₹53,990"
HP,HP 14,14 Inches,Ash Grey,512 GB,Core i3,16 GB,Windows 11 Home,"Anti Glare Coating, HD Audio, Lightweight",Integrated,"₹43,990"
acer,AL15-52H,15.6 Inches,Silver,1 TB,Core i5-12450H,16 GB,Windows 11 Home,Backlit Keyboard,Integrated,"₹45,490"
Lenovo,IdeaPad Slim 5,14 Inches,Luna Grey,1 TB,AMD Ryzen 7,24 GB,Windows 11 Home,"Anti Glare Coating, HD Audio, Memory Card Slot",Integrated,"₹65,990"
ASUS,ASUS Vivobook S14,14 Inches,Matte Gray,,Ryzen AI 7,16 GB,Windows 11 Home,"95% DCI-P3 color gamut, Glossy display",Integrated,"₹27,511.22"
HP,HP Laptop,39.6 Centimetres,Natural Silver,512 GB,Ryzen 7,16 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard",Integrated,"₹37,750"
Lenovo,Lenovo V15,15.6 Inches,Iron Grey,512 GB,Core i5 Family,16 GB,Windows 11 Home,"Anti Glare Coating, Lightweight",Integrated,"₹57,990"
acer,Aspire 3,14 Inches,"Gray, 16GB/1TB SSD/14.1""",1 TB,Core i5,16 GB,Windows 11 Home,Thin,Integrated,"₹34,990"
Dell,Inspiron,15.6 Inches,Silver MSO'21,512 GB,Core i3,8 GB,Windows 11 Home,"Numeric Keyboard, Thin & Light",Integrated,"₹33,990"
Lenovo,IdeaPad Slim 3,,Grey,512 GB,Core i5,16 GB,Windows 11 Home,"Anti Glare Coating, HD Audio, Memory Card Slot",Integrated,"₹69,990"
Lenovo,IdeaPad,14 Inches,i3-12th | Office 21,512 GB,Core i3,8 GB,"Windows 11 Home 64, English",Built-in Microphone,Integrated,"₹84,990"
Lenovo,LOQ,15.6 Inches,Luna Grey,512 GB,Ryzen 5,24 GB,Windows 11 Home,"Backlit Keyboard, HD Audio",Dedicated,"₹84,990"
HP,Chromebook,14 Inches,Silver,64 GB,Celeron N4020,4 GB,Chrome OS,"Micro Edge, Touchscreen, Dual speaker, Multi Touch Gesture, Voice Assistant, Convertible",Integrated,"₹32,990"
ASUS,ASUS Vivobook S16,16 Inches,Cool Silver,512 GB,Intel Core i7,16 GB,Windows 11 Home,"45% NTSC color gamut, Anti-glare display, LED Backlit",Integrated,"₹54,990"
HP,HP Laptop,15.6 Inches,Silver,512 GB,AMD Ryzen 7,16 GB,DOS,Lightweight,Integrated,"₹54,985"
HP,HP Laptop,15.6 Inches,Natural Silve,512 GB,Core i5,16 GB,Windows 11 Home,"Backlit Keyboard, Micro-Edge Display",Integrated,"₹56,989"
Primebook,Primebook 2 Max,15.6 Inches,Gray,256 GB,MediaTek Helio,8 GB,PrimeOS 3.0,"Backlit Keyboard, HD Audio, Memory Card Slot, Numeric Keypad",Integrated,"₹64,990"
Lenovo,LOQ,15.6 Inches,i5-12th | RTX 3050,512 GB,Others,16 GB,Windows 11 Home,"Backlit Keyboard, HD Audio",Dedicated,"₹29,990"
Lenovo,Lenovo V14,14 Inches,Iron Grey,512 GB,Core i5,16 GB,Windows 11 Home,"Fhd Display, Spill Resistant, Ssd Storage, Thin, Windows 11",Integrated,"₹12,990"
Acer,Predator Helios Neo 16S AI,16 Inches,Abyssal Black,,Intel Core Ultra 7,16 GB,Windows 11 Home,RGB-backlight,Dedicated,"₹50,990"
ASUS,ASUS Vivobook 15,15.6 Inches,Cool Silver,,Intel Core i7,16 GB,Windows 11 Home,"45% NTSC color gamut, Anti-glare display, Backlit Keyboard",Integrated,"₹22,999"
Lenovo,IdeaPad 3,14 Inches,Arctic Grey,512 GB,Core i3,16 GB,"Windows 11 Home 64, English","Backlit Keyboard, Built-in Microphone, HD Audio, Lightweight",Integrated,"₹20,990"
Lenovo,IdeaPad,15.6 Inches,Cloud Grey,512 GB,Ryzen 5,16 GB,Windows 11 Home,Anti Glare Coating,Integrated,"₹52,990"
Lenovo,Yoga Slim 7,14 Inches,Luna Grey,512 GB,Intel Core Ultra 7,16 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard, HD Audio",Integrated,"₹42,990"
HP,HP Laptop,40.6 Centimetres,Sky Blue,512 GB,Core i5,16 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard",Integrated,"₹32,990"
Lenovo,Yoga Slim 7,14 Inches,Luna Grey,1 TB,Intel Core Ultra 9,32 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard, HD Audio",Integrated,"₹4,84,990"
MSI,Sword 16 HX,41 Centimetres,Cosmos Gray,1 TB,Intel Core i7,16 GB,Windows 11 Home,Thin,Dedicated,"₹48,990"
Lenovo,Lenovo V15,15.6 Inches,Iron Grey,512 GB,Core i5 Family,16 GB,Windows 11 Home,"Anti Glare Coating, Lightweight",Integrated,"₹76,990"
HP,HP Laptop,39.6 Centimetres,Natural Silver,512 GB,Ryzen 7,16 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard",Integrated,"₹64,990"
ASUS,ROG Strix G16,16 Inches,Eclipse Gray,1 TB,Intel Core Ultra 9,32 GB,Windows 11 Home,"Anti-glare display, ROG intelligent cooling",Dedicated,"₹43,990"
HP,HP Laptop,35.6 Centimetres,Silver,512 GB,Intel Core Ultra 5,16 GB,Windows 11 Home,"5MP IR Camera, Anti Glare Coating, Backlit Keyboard, Intel Arc Graphics, WQXGA, 300 nits",Integrated,"₹41,990"
ASUS,ASUS TUF Gaming A15,15.6 Inches,Graphite Black,1 TB,AMD Ryzen 7,16 GB,Windows 11 Home,"720P HD camera, Anti-glare display, Backlit Keyboard",Dedicated,"₹45,985"
acer,Aspire 3,15.6 Inches,Silver,512 GB,Ryzen 5,16 GB,Windows 11 Home,"Backlit Keyboard, HD Audio, Lightweight, Numeric Keypad",Integrated,"₹37,000"
ASUS,ASUS Vivobook S14,14 Inches,Cool Silver,,Intel Core Ultra 7,16 GB,Windows 11 Home,"45% NTSC color gamut, Anti-glare display, LED Backlit",Integrated,"₹57,990"
ASUS,ASUS CHROMEBOOK_WO,35.56 Centimetres,Gray,128 GB,MediaTek Kompanio 520,8 GB,Chrome OS,"720p HD camera With privacy shutter, Anti Glare Coating, FHD (1920 x 1080) 16:9, Memory Card Slot, US MIL-STD 810H military-grade standard720p HD camera With privacy shutter, Anti Glare Coating, FHD (1920 x 1080) 16:9, Memory Card Slot, US MIL-STD 810H military-grade standardSee more",Integrated,"₹34,990"
HP,HP Laptop,15.6 Inches,"Silver, Core 3",512 GB,Intel Core 3,8 GB,Windows 11 Home,Anti Glare Coating,Integrated,"₹33,990"
acer,Aspire Lite,15.6 Inches,Steel Gray,512 GB,Ryzen 5,8 GB,Windows 11 Home,"HD Audio, Lightweight, Numeric Keypad",Integrated,"₹84,990"
HP,HP Laptop,15.6 Inches,Natural Silve,512 GB,Core i5,16 GB,Windows 11 Home,"Backlit Keyboard, Micro-Edge Display",Integrated,"₹69,990"
Primebook,Primebook 2 Max,15.6 Inches,Gray,256 GB,MediaTek Helio,8 GB,PrimeOS 3.0,"Backlit Keyboard, HD Audio, Memory Card Slot, Numeric Keypad",Integrated,"₹77,990"
Lenovo,LOQ,15.6 Inches,i5-12th | RTX 3050,512 GB,Others,16 GB,Windows 11 Home,"Backlit Keyboard, HD Audio",Dedicated,"₹65,490"
Lenovo,Lenovo V14,14 Inches,Iron Grey,512 GB,Core i5,16 GB,Windows 11 Home,"Fhd Display, Spill Resistant, Ssd Storage, Thin, Windows 11",Integrated,"₹13,990"
HP,HP Laptop,14 Inches,Meteor silver,1 TB,Intel Core Ultra 7,32 GB,Windows 11 Home,"Backlit Keyboard, Micro-Edge Display",Integrated,"₹40,985"
Lenovo,Lenovo 14,14 Inches,Iron Grey,512 GB,Core i5,16 GB,Windows 11 Pro,"Anti Glare Coating, HD Audio, Lightweight",Integrated,"₹39,990"
Lenovo,LOQ,15.6,Luna Grey,,Intel Core i7,16 GB,Windows 11 Home,"Backlit Keyboard, HD Audio",Dedicated,"₹45,490"
MSI,Thin 15,40 Centimetres,Cosmos Gray,512 GB,Core i5,16 GB,Windows 11 Home,Thin,Dedicated,"₹43,990"
acer,Aspire 3,14 Inches,"Steel Gray-16GB/512GB/14.1""",512 GB,Core i3,16 GB,Windows 11 Home,Thin,Integrated,"₹13,990"
ASUS,ASUS Vivobook Go 14,14 Inches,Black,512 GB,Ryzen 5,16 GB,Windows 11 Home,"60Hz refresh rate, Anti-glare display",Integrated,"₹75,990"
ASUS,ASUS Vivobook 16X,16 Inches,Indie Black,,Intel Core i7,16 GB,Windows 11 Home,"144Hz refresh rate, 45% NTSC color gamut, 86% Screen-to-body ratio, Anti-glare display, TÜV Rheinland-certified144Hz refresh rate, 45% NTSC color gamut, 86% Screen-to-body ratio, Anti-glare display, TÜV Rheinland-certifiedSee more",Integrated,"₹23,340"
ASUS,ASUS TUF Gaming A16,16 Inches,Mecha Gray,,AMD Ryzen 7,32 GB,Windows 11 Home,"144Hz Refresh Rate, Anti-glare display",Integrated,"₹32,985"
HP,HP Laptop,39.6 Centimetres,Natural Silver,512 GB,Ryzen 7,16 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard",Integrated,"₹33,990"
Dell,Inspiron,15.6 Inches,Silver,1 TB,Core i5,16 GB,Windows 11 Home,Backlit Keyboard,Integrated,"₹16,991"
Lenovo,Yoga Slim 7,14,Luna Grey,,Intel Core Ultra 5,16 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard, HD Audio",Integrated,"₹41,990"
MSI,Katana 15 HX B14WEK,40 Centimetres,Black,,Intel Core i7,16 GB,Windows 11 Home,165Hz Refresh Rate,Dedicated,"₹28,970"
ASUS,ASUS V16,16 Inches,Matte Black,,Intel Core 7,16 GB,Windows 11 Home,"Anti-glare display, US MIL-STD 810H military-grade standard",Dedicated,"₹48,990"
acer,ALG,15.6 Inches,13th Gen Ci7/16 GB/512 GB SSD,512 GB,Core i7,16 GB,Windows 11 Home,"HD Audio, Memory Card Slot, Numeric Keypad",Dedicated,"₹53,990"
Lenovo,LOQ,15.6,Luna Grey,,Intel Core i7,16 GB,Windows 11 Home,"Backlit Keyboard, HD Audio",Dedicated,"₹64,990"
acer,Aspire 3,14 Inches,"Steel Gray-8GB/512GB/14.1""",512 GB,Core i3,8 GB,Windows 11 Home,Thin,Integrated,"₹43,990"
HP,HP Gaming Laptop,16 Inches,Shadow Black,1 TB,Intel Core i7,24 GB,Windows 11 Home,RGB Backlit,Dedicated,"₹39,190"
Acer,Aspire,15.6 Inches,Silver,,Ryzen 5,16 GB,Windows 11 Home,Backlit Keyboard,Integrated,"₹6,17,990"
HP,HP Laptop,15.6 Inches,Natural Silve,512 GB,Core i5,16 GB,Windows 11 Home,"Backlit Keyboard, Micro-Edge Display",Integrated,"₹33,050"
Primebook,Primebook 2 Max,15.6 Inches,Gray,256 GB,MediaTek Helio,8 GB,PrimeOS 3.0,"Backlit Keyboard, HD Audio, Memory Card Slot, Numeric Keypad",Integrated,"₹57,990"
Lenovo,Lenovo V15,15.6 Inches,Iron Grey,512 GB,Core i5 Family,16 GB,Windows 11 Home,"Anti Glare Coating, Lightweight",Integrated,"₹34,990"
Lenovo,Yoga Slim 7,14,2025 Aura | Ultra 5 226V,1 TB,Intel Core Ultra 5,16 GB,Windows 11 Home,"Anti Glare Coating, HD Audio, Memory Card Slot",Integrated,"₹84,990"
ASUS,ASUS Vivobook 16,16 Inches,Cool Silver,512 GB,Snapdragon X,16 GB,Windows 11 Home,"Anti-glare display, Qualcomm® Adreno™ GPU",Integrated,"₹33,990"
ist computers,HP Victus 15t,15.6 Inches,Blue,1 TB,Ryzen 5,32 GB,Windows 11 Home,"1 Year Warranty, Anti Glare Coating, Backlit Keyboard, HD Audio, Numeric Keypad",Dedicated,"₹69,990"
Lenovo,IdeaPad Slim 3,15.3,Luna Grey,,Intel Core 5,24 GB,Windows 11 Home,"Anti Glare Coating, HD Audio, Memory Card Slot",Integrated,"₹59,990"
